title,year,journal,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
Comparison of Efficacy of an Epidural Blood Patch in Patients with Spinal Leakage of Cerebrospinal Fluid,2021,Pain Physician,0.8459584007757658,0.03899932945944468,0.03674640010845542,0.036753489602657965,0.04154238005367619
Glycemic control predicts SARS-CoV-2 prognosis in diabetic subjects,2023,Acta Diabetologica,0.0355324241780793,0.03336098662493294,0.033059007492478046,0.03305649139514845,0.8649910903093613
"Changes in use of respiratory support for preterm infants in the us, 2008-2018",2021,JAMA Pediatrics,0.74239723704287,0.02622971721930599,0.02625062302738952,0.02624974405772274,0.1788726786527119
ED Visits for Schizophrenia Spectrum Disorders during the COVID-19 Pandemic at 5 Campus Health Systems,2023,JAMA Network Open,0.8699816116406947,0.03231288968164472,0.032326249397459664,0.03232264613252935,0.033056603147671657
Hydrops fetalis—trends in associated diagnoses and mortality from 1997–2018,2021,Journal of Perinatology,0.032531701324888924,0.030848781931139296,0.03088501344965934,0.03088486835267433,0.8748496349416381
Accuracy of Asthma Computable Phenotypes to Identify Pediatric Asthma at an Academic Institution,2021,Methods of Information in Medicine,0.9000569586697726,0.026259392813526537,0.024097125446433335,0.024096964869649736,0.02548955820061753
Trends Following Implementation of an Otolaryngology Hospitalist Model in a Tertiary Care Setting,2023,Otolaryngology - Head and Neck Surgery (United States),0.8872586890432419,0.028132025586946052,0.028145815401362524,0.028140422058035713,0.02832304791041372
Incidental diagnosis of lung cancer on chest CT scan performed for suspected or documented COVID-19 infection,2024,Respiratory Medicine and Research,0.8736251581869815,0.03172269958729301,0.03144914600580497,0.03144899791380019,0.031753998306120426
Discrepancies in Aggregate Patient Data between Two Sources with Data Originating from the Same Electronic Health Record: A Case Study,2025,Applied Clinical Informatics,0.9118267804840573,0.02201670585429597,0.021878586885856532,0.021877383715450966,0.02240054306033909
How to Optimize Connection Between PACS and Clinical Data Warehouse: A Web Service Approach Based on Full Metadata Integration,2022,Studies in Health Technology and Informatics,0.6909559470019218,0.23155120678079272,0.025696812783944947,0.02569532144485962,0.026100711988480952
Comparison of Clinical Outcomes Trigeminal Nerve Block With and Without Radiofrequency Thermocoagulation for Trigeminal Neuralgia,2025,Pain Physician,0.8524938261634181,0.0368010879381024,0.03682358786812221,0.03682167741451149,0.03705982061584578
"Patient outcomes following buprenorphine treatment for opioid use disorder: A retrospective analysis of the influence of patient- and prescriber-level characteristics in Massachusetts, USA",2025,Addiction,0.8898101271124075,0.027391757719576953,0.02739545423738469,0.027399676338585456,0.028002984592045446
Ontology-driven identification of inconsistencies in clinical data: A case study in lung cancer phenotyping,2025,Journal of Biomedical Informatics,0.8979540188919686,0.025468228782246784,0.025473404412085038,0.025466972570001616,0.025637375343698
When Context Matters for Credible Measurement of Drug-Drug Interactions Based on Real-World Data,2022,Studies in Health Technology and Informatics,0.8744329564893589,0.03137796001039171,0.031381670779069615,0.03138052177605873,0.031426890945120974
Investigating CAR-T Treatment Access for Multiple Myeloma Patients Using Real-World Evidence,2026,Cancers,0.9041197598028541,0.024016080485459224,0.023757900048593787,0.02375858299412669,0.024347676668966093
Comparative analysis of alectinib and brigatinib in real-world treatment of advanced NSCLC with ALK rearrangements,2025,Therapeutic Advances in Medical Oncology,0.4689012295819394,0.03180644623335894,0.03132006578329289,0.03132435701125234,0.4366479013901563
Study of Infraorbital Foramen Using 3-Dimensional Facial Bone Computed Tomography Scans,2022,Pain Physician,0.8840919262428872,0.02908293272423499,0.02886382563571711,0.02886028841185466,0.029101026985305995
Implementation of addiction consult services and bridge clinics in the HEALing communities study in Massachusetts,2026,Drug and Alcohol Dependence,0.8709854162360902,0.03220084806869875,0.03222720982472891,0.032228038824808035,0.032358487045674074
Incidence and Characteristics of Infants with Congenital Syphilis in U.S. NICUs from 2011 to 2020,2026,American Journal of Perinatology,0.8621552196384129,0.03377651829983231,0.03371255359548409,0.03371658762385212,0.03663912084241839
Probiotic-Associated Central Venous Catheter Bloodstream Infections Lead to Increased Mortality in the ICU∗,2023,Critical Care Medicine,0.8460486376354543,0.038184559947404675,0.038218142456105025,0.03821939767924172,0.03932926228179436
Defining Body Mass Index Using Weight and Length for Gestational Age in the Growth Assessment of Preterm Infants at Birth,2024,American Journal of Perinatology,0.039562332458242644,0.036214245543405056,0.03624373653988332,0.03623838469907537,0.8517413007593937
Exogenous Testosterone Use Increases the Risk of Central Serous Chorioretinopathy,2026,American Journal of Ophthalmology,0.8983136979515385,0.02524116017700019,0.02524610212659515,0.02524804384678104,0.025950995898085073
Probiotics and necrotizing enterocolitis in preterm infants after the food and drug administration warning actions,2026,Journal of Perinatology,0.036725438407023275,0.03587658822338734,0.03591752144324513,0.035912050761267245,0.855568401165077
"Health data: Regionalised access is a priority challenge for building a secure, transparent and innovative national health data repository",2025,Therapies,0.9016585993876172,0.02450646012950696,0.024524740056178915,0.024515982653921603,0.024794217772775237
Erector Spinae Regional Anesthesia for Robotic Coronary Artery Bypass Surgery Is Not Associated With Reduced Postoperative Opioid Use: A Retrospective Observational Study,2021,Journal of Cardiothoracic and Vascular Anesthesia,0.8929043740189783,0.026573580216429676,0.026594368422026175,0.02659353445275931,0.027334142889806512
Transforming Hospital Data into Real-World Evidence for Clinical Research: Insights into a Scalable Framework at Fondazione Policlinico Gemelli Hospital,2026,Studies in Health Technology and Informatics,0.7777138755591817,0.02629366522697638,0.026065963055734134,0.026063779002261533,0.14386271715584628
"Seasonal burden of severe influenza virus infection in the critically ill patients, using the Assistance Publique-Hôpitaux de Paris clinical data warehouse: a pilot study",2021,Annals of Intensive Care,0.9128003594949028,0.022486107550557133,0.021428744395331756,0.02142685451899373,0.021857934040214713
